DIAS,TRÊS MARIAS,BSM,FORTALEZA,JATOBÁ,ACARÁ DO TAPAJÓS,BUBURÉ,BELA VISTA
1989-01-01,942.9677419354839,776.0645161290323,620.3548387096774,776.0645161290323,740.9677419354839,724.8931178043896,926.5802930885758
1989-02-01,1085.9642857142858,918.1071428571429,729.75,918.1071428571429,879.7142857142857,823.2167203056207,1108.8356258488434
1989-03-01,1124.1612903225807,947.6129032258065,753.8064516129032,947.6129032258065,920.8709677419355,853.684432326142,1157.4787220716787
1989-04-01,1070.3333333333333,917.3,742.1,917.3,914.3,851.5101951796918,1138.7724602374174
1989-05-01,943.8064516129032,786.3870967741935,649.1935483870968,786.3870967741935,816.9677419354839,785.7840346404406,997.5230784507187
1989-06-01,688.6666666666666,546.7333333333333,475.9,546.7333333333333,583.2333333333333,620.2472149977443,690.393877970612
1989-07-01,577.4516129032259,457.03225806451616,414.48387096774195,457.03225806451616,480.5483870967742,545.9409170317884,562.1756005880767
1989-08-01,512.258064516129,395.3225806451613,372.93548387096774,395.3225806451613,413.03225806451616,497.36904746069985,476.7026292226969
1989-09-01,476.6666666666667,361.93333333333334,353.76666666666665,361.93333333333334,385.6,478.5092921789518,438.42217654128007
1989-10-01,454.6480351403654,369.2258064516129,360.0967741935484,369.2258064516129,389.80645161290323,481.18815263779277,445.2345339558158
1989-11-01,569.3090930590133,468.1,417.73333333333335,468.1,467.76666666666665,534.3781313311669,555.7371411716033
1989-12-01,761.3610343491986,633.7096774193549,523.1935483870968,633.7096774193549,591.8064516129032,618.1978691669026,735.1562319279961
1990-01-01,988.1692931860266,829.2903225806451,661.0645161290323,829.2903225806451,777.2258064516129,748.9352654700363,981.1278507941894
1990-02-01,993.0511137003275,833.5,663.1428571428571,833.5,777.6428571428571,748.8366171397648,983.2951138273047
1990-03-01,1136.4569293445602,957.1612903225806,758.483870967742,957.1612903225806,911.3548387096774,844.9486985173011,1153.2538825399515
1990-04-01,953.9221967700647,797.128955838592,645.6333333333333,797.128955838592,769.2760957184429,745.8159169480513,960.4108271432016
1990-05-01,760.9008223082853,624.4431728442834,524.6129032258065,624.4431728442834,608.9626790075515,633.1533816009354,746.2075466769302
1990-06-01,579.840550613764,464.6391765281221,414.7,464.6391765281221,464.0238227218324,531.6856701184167,550.9780886693782
1990-07-01,513.3796925125288,405.9807495646545,374.35483870967744,405.9807495646545,410.82186587724914,494.4404417114124,479.3162205831967
1990-08-01,458.5934570424934,357.6263574647627,341.0967741935484,357.6263574647627,366.96545146390804,463.7377708170159,420.24259301715136
1990-09-01,455.9630800727875,355.3047838382401,339.5,355.3047838382401,364.85983311913566,462.2636852600105,417.4063713250861
1990-10-01,488.13870138908874,383.70302284549956,359.03225806451616,383.70302284549956,390.61643731630136,480.2951762654005,452.0999518209548
1990-11-01,526.5227208729447,417.58080095104975,382.3333333333333,417.58080095104975,421.34286797705477,501.80590624540594,493.4877794755361
1990-12-01,597.3391998283927,480.08350370415945,425.3225806451613,480.08350370415945,478.0315019326115,541.4920615107782,569.846125097602
1991-01-01,834.2325438879641,689.1658315230911,569.1290322580645,689.1658315230911,667.6647661951466,670.476064145248,815.2903225806451
1991-02-01,1125.0637983775573,945.8538188221061,745.6785714285714,945.8538188221061,900.4753601667562,808.9349942159857,1094.1785714285713
1991-03-01,1078.2465043907794,904.53282330069,717.258064516129,904.53282330069,862.9980881990858,794.2245729726137,1064.5483870967741
1991-04-01,1162.8773335056458,979.2280868034625,768.6333333333333,979.2280868034625,930.745117757929,848.4147928922664,1173.7
